Order	Family	Subfamily	Tribe	Genus	Species	LivingGenus	LivingRelative	Living	TaxonString	FCT_HYP	FCT_LOP	FCT_HOR	FCT_AL	FCT_OL	FCT_SF	FCT_OT	FCT_CM
Artiodactyla	Bovidae	NA	Bovini	Simatherium	kohllarseni	Syncerus	Syncerus caffer	0	ArtiodactylaBovidaeBoviniSimatheriumkohllarseni	3	2	1	0	1	0	1	1
Artiodactyla	Bovidae	NA	Bovini	Simatherium/Pelorovis	NA	NA	NA	NA	ArtiodactylaBovidaeBoviniSimatherium/Pelorovis	3	2	1	0	1	0	1	1
Artiodactyla	Bovidae	NA	Bovini	Syncerus	acoelotus	Syncerus	Syncerus caffer	0	ArtiodactylaBovidaeBoviniSyncerusacoelotus	3	2	1	0	1	0	1	1
Artiodactyla	Bovidae	NA	Bovini	Syncerus	caffer	Syncerus	Syncerus caffer	1	ArtiodactylaBovidaeBoviniSynceruscaffer	3	2	1	0	1	0	1	1
Artiodactyla	Bovidae	NA	Bovini	Syncerus	NA	Syncerus	NA	NA	ArtiodactylaBovidaeBoviniSyncerus	3	2	1	0	1	0	1	1
Artiodactyla	Bovidae	NA	Bovini	Ugandax	sp nov	Syncerus	NA	NA	ArtiodactylaBovidaeBoviniUgandaxsp nov	3	2	1	0	1	0	1	1
Artiodactyla	Bovidae	NA	Bovini	NA	NA	NA	NA	NA	ArtiodactylaBovidaeBoviniindetindet	3	2	1	0	1	0	1	1
Artiodactyla	Bovidae	NA	Bovini	NA	NA	NA	NA	NA	ArtiodactylaBovidaeBovini	3	2	1	0	1	0	1	1
Artiodactyla	Bovidae	NA	Bovini	NA	NA	NA	NA	NA	ArtiodactylaBovidaeBoviniindet	3	2	1	0	1	0	1	1
Artiodactyla	Bovidae	NA	Bovini/Hippotragini	NA	NA	NA	NA	NA	ArtiodactylaBovidaeBovini/Hippotragini	3	2	1	0	1	NA	NA	NA
Artiodactyla	Bovidae	NA	Caprini	gen	sp A	NA	NA	NA	ArtiodactylaBovidaeCaprinigensp A	3	2	1	0	1	0	0	0
Artiodactyla	Bovidae	NA	Caprini	gen	sp B	NA	NA	NA	ArtiodactylaBovidaeCaprinigensp B	3	2	1	0	1	0	0	0
Artiodactyla	Bovidae	NA	Caprini	gen	sp C	NA	NA	NA	ArtiodactylaBovidaeCaprinigensp C	3	2	1	0	1	0	0	0
Artiodactyla	Bovidae	NA	Caprini	NA	NA	NA	NA	NA	ArtiodactylaBovidaeCaprini	3	2	1	0	1	0	0	0
Artiodactyla	Bovidae	NA	Cephalophini	Cephalophus	NA	Cephalophus	NA	NA	ArtiodactylaBovidaeCephalophiniCephalophus	2	2	1	0	1	1	0	0
Artiodactyla	Bovidae	NA	Hippotragini	Hippotragus	gigas	Hippotragus	Hippotragus equinus	0	ArtiodactylaBovidaeHippotraginiHippotragusgigas	3	2	1	0	1	1	0	0
Artiodactyla	Bovidae	NA	Hippotragini	Hippotragus	NA	Hippotragus	NA	NA	ArtiodactylaBovidaeHippotraginiHippotragusindet	3	2	1	0	1	1	0	0
Artiodactyla	Bovidae	NA	Hippotragini	Oryx	sp	Oryx	NA	NA	ArtiodactylaBovidaeHippotraginiOryxsp	3	2	1	0	1	1	0	0
Artiodactyla	Bovidae	NA	Hippotragini	Oryx	NA	Oryx	NA	NA	ArtiodactylaBovidaeHippotraginiOryx	3	2	1	0	1	1	0	0
Artiodactyla	Bovidae	NA	Hippotragini	NA	NA	NA	NA	NA	ArtiodactylaBovidaeHippotragini	3	2	1	0	1	1	0	0
Artiodactyla	Bovidae	NA	Hippotragini/Reduncini	NA	NA	NA	NA	NA	ArtiodactylaBovidaeHippotragini/Reduncini	3	2	1	0	1	1	0	0
Artiodactyla	Bovidae	NA	Neotragini	Madoqua	NA	Madoqua	NA	NA	ArtiodactylaBovidaeNeotraginiMadoqua	2	2	1	0	1	0	0	0
Artiodactyla	Bovidae	NA	Neotragini	Madoqua	NA	Madoqua	NA	NA	ArtiodactylaBovidaeNeotraginiMadoquaindet	2	2	1	0	1	0	0	0
Artiodactyla	Bovidae	NA	Neotragini	Neotragus	NA	Neotragus	NA	NA	ArtiodactylaBovidaeNeotraginiNeotragus	2	2	1	0	1	0	0	0
Artiodactyla	Bovidae	NA	Neotragini	Raphicerus	NA	Raphicerus	NA	NA	ArtiodactylaBovidaeNeotraginiRaphicerusindet	2	2	1	0	1	0	0	0
Artiodactyla	Bovidae	NA	Neotragini	Raphicerus	NA	Raphicerus	NA	NA	ArtiodactylaBovidaeNeotraginiRaphicerus	3	2	1	0	1	0	0	0
Artiodactyla	Bovidae	NA	Neotragini	NA	NA	NA	NA	NA	ArtiodactylaBovidaeNeotragini	2	2	1	0	1	0	0	0
Artiodactyla	Bovidae	NA	Neotragini	NA	NA	NA	NA	NA	ArtiodactylaBovidaeNeotraginiindet	2	2	1	0	1	0	0	0
