SITE	lon_bio	lat_bio	bio1	bio12	NPP
82202	34.89	-11.39	245	1353	1778
82203	35.35	-11.39	235	1315	1747
82204	35.8	-11.39	241	1211	1658
82205	36.26	-11.39	239	1186	1635
82206	36.72	-11.39	247	1124	1578
82207	37.18	-11.39	247	1091	1546
82208	37.64	-11.39	256	1041	1497
82209	38.09	-11.39	260	1006	1462
82210	38.55	-11.39	265	962	1416
82211	39.01	-11.39	256	1007	1463
82212	39.47	-11.39	222	1184	1633
82213	39.93	-11.39	247	1098	1553
82214	40.39	-11.39	257	1014	1470
82943	13.97	-10.94	242	485	826
82944	14.43	-10.94	227	987	1442
82945	14.88	-10.94	217	1072	1528
82946	15.34	-10.94	202	1182	1631
82947	15.8	-10.94	190	1268	1707
82948	16.26	-10.94	193	1304	1738
82949	16.71	-10.94	208	1246	1688
82950	17.17	-10.94	208	1273	1712
82951	17.63	-10.94	211	1291	1727
82952	18.09	-10.94	203	1403	1818
82953	18.54	-10.94	209	1371	1793
82954	19	-10.94	206	1364	1787
82955	19.46	-10.94	204	1364	1787
82956	19.92	-10.94	208	1337	1765
82957	20.37	-10.94	210	1346	1773
82958	20.83	-10.94	213	1374	1795
82959	21.29	-10.94	218	1378	1798
82960	21.75	-10.94	221	1354	1779
82961	22.2	-10.94	225	1340	1768
82962	22.66	-10.94	220	1368	1790
82963	23.12	-10.94	214	1416	1828
82964	23.58	-10.94	211	1460	1862
82965	24.03	-10.94	211	1471	1870
82966	24.49	-10.94	209	1413	1826
82967	24.95	-10.94	211	1283	1720
82968	25.41	-10.94	203	1208	1655
82969	25.86	-10.94	201	1167	1618
82970	26.32	-10.94	192	1208	1655
82971	26.78	-10.94	203	1167	1618
82972	27.24	-10.94	209	1166	1617
82973	27.69	-10.94	211	1143	1596
82974	28.15	-10.94	211	1133	1586
82975	28.61	-10.94	212	1121	1575
82976	29.07	-10.94	201	1274	1713
82977	29.52	-10.94	208	1457	1860
82979	30.44	-10.94	209	1379	1799
82980	30.9	-10.94	209	1281	1719
82981	31.35	-10.94	199	1250	1692
82982	31.81	-10.94	195	1194	1642
82983	32.27	-10.94	208	1024	1480
82984	32.73	-10.94	234	895	1344
82985	33.18	-10.94	220	811	1249
82986	33.64	-10.94	206	814	1253
82987	34.1	-10.94	185	1193	1641
82989	35.01	-10.94	194	1243	1686
82990	35.47	-10.94	216	1248	1690
82991	35.93	-10.94	231	1163	1614
82992	36.39	-10.94	229	1166	1617
82993	36.84	-10.94	234	1098	1553
82994	37.3	-10.94	243	985	1440
82995	37.76	-10.94	252	942	1395
82996	38.21	-10.94	257	924	1376
82997	38.67	-10.94	258	932	1384
82998	39.13	-10.94	252	996	1452
82999	39.59	-10.94	258	1078	1534
83000	40.04	-10.94	252	1106	1561
83732	14.59	-10.49	221	942	1395
83733	15.05	-10.49	210	1119	1573
83734	15.51	-10.49	201	1187	1636
83735	15.96	-10.49	198	1212	1658
83736	16.42	-10.49	209	1174	1624
83737	16.88	-10.49	209	1215	1661
83738	17.33	-10.49	211	1237	1681
83739	17.79	-10.49	210	1329	1759
83740	18.25	-10.49	206	1432	1841
83741	18.71	-10.49	209	1390	1808
83742	19.16	-10.49	213	1339	1767
83743	19.62	-10.49	206	1372	1794
83744	20.08	-10.49	210	1355	1780
83745	20.53	-10.49	214	1367	1790
83746	20.99	-10.49	216	1416	1828
83747	21.45	-10.49	221	1395	1812
83748	21.9	-10.49	227	1355	1780
83749	22.36	-10.49	231	1323	1754
83750	22.82	-10.49	229	1331	1760
83751	23.27	-10.49	226	1362	1786
83752	23.73	-10.49	220	1414	1827
83753	24.19	-10.49	218	1411	1824
83754	24.64	-10.49	222	1318	1750
83755	25.1	-10.49	220	1202	1649
83756	25.56	-10.49	209	1131	1584
83757	26.01	-10.49	189	1173	1623
83758	26.47	-10.49	212	1051	1507
83759	26.93	-10.49	218	1032	1488
83760	27.38	-10.49	223	1017	1473
83761	27.84	-10.49	189	1257	1698
83762	28.3	-10.49	217	1110	1564
83763	28.76	-10.49	214	1169	1620
83764	29.21	-10.49	205	1336	1764
83765	29.67	-10.49	209	1417	1829
83766	30.13	-10.49	209	1428	1838
83767	30.58	-10.49	209	1366	1789
83768	31.04	-10.49	210	1275	1713
83769	31.5	-10.49	209	1213	1659
83770	31.95	-10.49	210	1135	1588
83771	32.41	-10.49	207	1049	1505
83772	32.87	-10.49	237	953	1407
83773	33.32	-10.49	205	969	1424
83774	33.78	-10.49	148	1287	1724
83776	34.69	-10.49	231	994	1449
83777	35.15	-10.49	225	1088	1543
83778	35.61	-10.49	215	1219	1665
83779	36.06	-10.49	226	1201	1649
83780	36.52	-10.49	225	1188	1637
83781	36.98	-10.49	229	1092	1547
83782	37.43	-10.49	236	980	1435
83783	37.89	-10.49	245	901	1351
83784	38.35	-10.49	250	888	1336
83785	38.8	-10.49	252	903	1353
83786	39.26	-10.49	224	1113	1567
83787	39.72	-10.49	249	1060	1516
83788	40.18	-10.49	254	1105	1560
84519	13.41	-10.04	243	674	1082
84520	13.86	-10.04	242	726	1147
84521	14.32	-10.04	243	692	1105
84522	14.77	-10.04	223	944	1397
84523	15.23	-10.04	206	1139	1592
84524	15.69	-10.04	211	1104	1559
84525	16.14	-10.04	209	1132	1585
84526	16.6	-10.04	211	1161	1612
84527	17.05	-10.04	210	1222	1667
84528	17.51	-10.04	208	1246	1688
84529	17.97	-10.04	203	1395	1812
84530	18.42	-10.04	219	1340	1768
84531	18.88	-10.04	219	1337	1765
84532	19.34	-10.04	207	1390	1808
84533	19.79	-10.04	211	1358	1782
84534	20.25	-10.04	215	1339	1767
84535	20.7	-10.04	219	1381	1801
84536	21.16	-10.04	222	1419	1831
84537	21.62	-10.04	225	1396	1813
84538	22.07	-10.04	227	1357	1782
84539	22.53	-10.04	229	1329	1759
84540	22.98	-10.04	233	1305	1739
84541	23.44	-10.04	227	1356	1781
84542	23.9	-10.04	224	1383	1802
84543	24.35	-10.04	224	1361	1785
84544	24.81	-10.04	230	1251	1693
84545	25.27	-10.04	227	1149	1601
84546	25.72	-10.04	196	1194	1642
84547	26.18	-10.04	189	1201	1649
84548	26.63	-10.04	222	939	1392
84549	27.09	-10.04	226	896	1345
84550	27.55	-10.04	205	1088	1543
84551	28	-10.04	217	1066	1522
84552	28.46	-10.04	227	1057	1513
84553	28.91	-10.04	211	1247	1689
84554	29.37	-10.04	209	1298	1733
84555	29.83	-10.04	200	1415	1828
84556	30.28	-10.04	203	1414	1827
84557	30.74	-10.04	206	1348	1774
84558	31.2	-10.04	202	1281	1719
84559	31.65	-10.04	207	1185	1634
84560	32.11	-10.04	214	1123	1577
84561	32.56	-10.04	216	1057	1513
84562	33.02	-10.04	230	1058	1514
84563	33.48	-10.04	191	1228	1673
84564	33.93	-10.04	245	1109	1563
84566	34.84	-10.04	180	1274	1713
84567	35.3	-10.04	223	1241	1684
84568	35.76	-10.04	220	1352	1778
84569	36.21	-10.04	233	1258	1699
84570	36.67	-10.04	232	1175	1625
84571	37.13	-10.04	233	1070	1526
84572	37.58	-10.04	225	1017	1473
84573	38.04	-10.04	244	864	1310
84574	38.49	-10.04	254	854	1298
84575	38.95	-10.04	246	922	1374
84576	39.41	-10.04	241	1000	1456
84577	39.86	-10.04	262	935	1388
85310	13.6	-9.6	241	780	1213
85311	14.05	-9.6	250	717	1136
85312	14.51	-9.6	245	730	1152
85313	14.97	-9.6	229	990	1445
85314	15.42	-9.6	220	1056	1512
85315	15.88	-9.6	215	1100	1555
85316	16.33	-9.6	211	1116	1570
85317	16.79	-9.6	212	1238	1681
85318	17.24	-9.6	208	1352	1778
85319	17.7	-9.6	224	1281	1719
85320	18.15	-9.6	222	1340	1768
85321	18.61	-9.6	218	1386	1805
85322	19.07	-9.6	215	1398	1814
85323	19.52	-9.6	215	1381	1801
85324	19.98	-9.6	217	1355	1780
85325	20.43	-9.6	219	1344	1771
85326	20.89	-9.6	221	1461	1863
85327	21.34	-9.6	224	1457	1860
85328	21.8	-9.6	226	1413	1826
85329	22.25	-9.6	227	1368	1790
85330	22.71	-9.6	233	1296	1731
85331	23.16	-9.6	230	1330	1760
85332	23.62	-9.6	227	1364	1787
85333	24.08	-9.6	226	1359	1783
85334	24.53	-9.6	229	1296	1731
85335	24.99	-9.6	238	1178	1628
85336	25.44	-9.6	232	1131	1584
85337	25.9	-9.6	235	1015	1471
85338	26.35	-9.6	194	1184	1633
85339	26.81	-9.6	221	895	1344
85340	27.26	-9.6	231	823	1263
85341	27.72	-9.6	193	1202	1649
85342	28.18	-9.6	224	1028	1484
85343	28.63	-9.6	230	1068	1524
85344	29.09	-9.6	209	1309	1742
85345	29.54	-9.6	217	1205	1652
85346	30	-9.6	210	1297	1732
85347	30.45	-9.6	199	1353	1778
85348	30.91	-9.6	204	1285	1722
85349	31.36	-9.6	196	1201	1649
85350	31.82	-9.6	208	1078	1534
85351	32.28	-9.6	220	1021	1477
85352	32.73	-9.6	217	1035	1491
85353	33.19	-9.6	205	1191	1640
85354	33.64	-9.6	234	2079	2246
85356	34.55	-9.6	142	1330	1760
85357	35.01	-9.6	178	1381	1801
85358	35.46	-9.6	228	1559	1935
85359	35.92	-9.6	218	1574	1945
85360	36.38	-9.6	238	1310	1743
85361	36.83	-9.6	242	1163	1614
85362	37.29	-9.6	242	1058	1514
85363	37.74	-9.6	227	1015	1471
85364	38.2	-9.6	244	910	1361
85365	38.65	-9.6	245	977	1432
85366	39.11	-9.6	257	962	1416
85367	39.56	-9.6	263	924	1376
86101	13.35	-9.15	248	524	882
86102	13.8	-9.15	252	644	1044
86103	14.26	-9.15	248	778	1210
86104	14.71	-9.15	233	1028	1484
86105	15.17	-9.15	221	1113	1567
86106	15.62	-9.15	224	1063	1519
86107	16.08	-9.15	221	1078	1534
86108	16.53	-9.15	215	1179	1629
86109	16.99	-9.15	209	1438	1845
86110	17.44	-9.15	225	1342	1769
86111	17.9	-9.15	225	1367	1790
86112	18.35	-9.15	221	1417	1829
86113	18.81	-9.15	219	1439	1846
86114	19.26	-9.15	211	1475	1873
86115	19.72	-9.15	217	1421	1832
86116	20.17	-9.15	222	1399	1815
86117	20.63	-9.15	224	1432	1841
86118	21.08	-9.15	229	1450	1855
86119	21.54	-9.15	231	1432	1841
86120	21.99	-9.15	231	1404	1819
86121	22.45	-9.15	226	1411	1824
86122	22.9	-9.15	226	1398	1814
86123	23.36	-9.15	224	1414	1827
86124	23.81	-9.15	230	1370	1792
86125	24.27	-9.15	224	1384	1803
86126	24.72	-9.15	225	1337	1765
86127	25.18	-9.15	229	1257	1698
86128	25.63	-9.15	245	1085	1540
86129	26.09	-9.15	248	955	1409
86130	26.54	-9.15	221	1008	1464
86131	27	-9.15	209	1062	1518
86132	27.45	-9.15	230	903	1353
86133	27.91	-9.15	197	1200	1648
86136	29.27	-9.15	233	1117	1571
86137	29.73	-9.15	225	1180	1630
86138	30.18	-9.15	215	1246	1688
86139	30.64	-9.15	220	1227	1672
86140	31.09	-9.15	191	1247	1689
86141	31.55	-9.15	186	1120	1574
86142	32	-9.15	205	964	1418
86143	32.46	-9.15	208	937	1390
86144	32.91	-9.15	203	1194	1642
86145	33.37	-9.15	165	1502	1893
86146	33.82	-9.15	188	1888	2144
86147	34.28	-9.15	134	1588	1708
86148	34.73	-9.15	171	1046	1502
86149	35.19	-9.15	193	1465	1866
86150	35.64	-9.15	240	1503	1894
86151	36.1	-9.15	252	1342	1769
86152	36.55	-9.15	240	1355	1780
86153	37.01	-9.15	244	1247	1689
86154	37.46	-9.15	242	1146	1598
86155	37.92	-9.15	232	1116	1570
86156	38.37	-9.15	244	1093	1548
86157	38.83	-9.15	250	1142	1595
86158	39.28	-9.15	256	1056	1512
86894	13.56	-8.7	251	590	972
86895	14.02	-8.7	255	678	1087
86896	14.47	-8.7	238	1022	1478
86897	14.93	-8.7	231	1062	1518
86898	15.38	-8.7	222	1089	1544
86899	15.84	-8.7	214	1113	1567
86900	16.29	-8.7	215	1238	1681
86901	16.75	-8.7	239	1222	1667
86902	17.2	-8.7	224	1354	1779
86903	17.65	-8.7	234	1319	1750
86904	18.11	-8.7	228	1408	1822
86905	18.56	-8.7	218	1519	1906
86906	19.02	-8.7	214	1536	1918
86907	19.47	-8.7	217	1495	1888
86908	19.93	-8.7	223	1450	1855
86909	20.38	-8.7	227	1436	1844
86910	20.83	-8.7	235	1418	1830
86911	21.29	-8.7	229	1468	1868
86912	21.74	-8.7	229	1467	1867
86913	22.2	-8.7	227	1466	1867
86914	22.65	-8.7	229	1445	1851
86915	23.11	-8.7	226	1460	1862
86916	23.56	-8.7	227	1450	1855
86917	24.02	-8.7	230	1410	1824
86918	24.47	-8.7	225	1412	1825
86919	24.92	-8.7	225	1392	1810
86920	25.38	-8.7	234	1266	1706
86921	25.83	-8.7	229	1193	1641
86922	26.29	-8.7	250	950	1404
86923	26.74	-8.7	247	904	1354
86924	27.2	-8.7	203	1197	1645
86925	27.65	-8.7	206	1159	1610
86926	28.11	-8.7	228	984	1439
86927	28.56	-8.7	216	1192	1640
86929	29.47	-8.7	236	1094	1549
86930	29.92	-8.7	237	1115	1569
86931	30.38	-8.7	234	1163	1614
86932	30.83	-8.7	207	1208	1655
86933	31.29	-8.7	205	1135	1588
86934	31.74	-8.7	190	1005	1461
86935	32.19	-8.7	202	935	1388
86936	32.65	-8.7	218	1043	1499
86937	33.1	-8.7	231	1325	1755
86938	33.56	-8.7	179	1084	1539
86939	34.01	-8.7	226	937	1390
86940	34.47	-8.7	221	714	1133
86941	34.92	-8.7	195	1004	1460
86942	35.38	-8.7	203	1232	1676
86943	35.83	-8.7	256	1335	1764
86944	36.28	-8.7	259	1270	1709
86945	36.74	-8.7	209	1865	2130
86946	37.19	-8.7	251	1326	1756
86947	37.65	-8.7	243	1234	1678
86948	38.1	-8.7	234	1203	1650
86949	38.56	-8.7	254	1180	1630
86950	39.01	-8.7	257	1194	1642
87687	13.34	-8.25	257	504	853
87688	13.79	-8.25	255	559	930
87689	14.25	-8.25	248	590	972
87690	14.7	-8.25	244	798	1234
87691	15.15	-8.25	234	1010	1466
87692	15.61	-8.25	207	1225	1670
87693	16.06	-8.25	215	1215	1661
87694	16.52	-8.25	236	1186	1635
87695	16.97	-8.25	239	1199	1647
87696	17.42	-8.25	233	1304	1738
87697	17.88	-8.25	234	1374	1795
87698	18.33	-8.25	225	1497	1890
87699	18.78	-8.25	215	1597	1961
87700	19.24	-8.25	217	1564	1938
87701	19.69	-8.25	222	1514	1902
87702	20.15	-8.25	226	1484	1880
87703	20.6	-8.25	230	1481	1878
87704	21.05	-8.25	236	1452	1856
87705	21.51	-8.25	241	1438	1845
87706	21.96	-8.25	235	1462	1864
87707	22.42	-8.25	232	1479	1876
87708	22.87	-8.25	231	1489	1884
87709	23.32	-8.25	227	1518	1905
87710	23.78	-8.25	224	1528	1912
87711	24.23	-8.25	228	1462	1864
87712	24.69	-8.25	224	1425	1835
87713	25.14	-8.25	225	1374	1795
87714	25.59	-8.25	224	1305	1739
87715	26.05	-8.25	243	1069	1525
87716	26.5	-8.25	250	964	1418
87717	26.95	-8.25	247	957	1411
87718	27.41	-8.25	216	1137	1590
87719	27.86	-8.25	225	1064	1520
87720	28.32	-8.25	219	1110	1564
87721	28.77	-8.25	231	1063	1519
87722	29.22	-8.25	228	1069	1525
87723	29.68	-8.25	235	1051	1507
87724	30.13	-8.25	243	1071	1527
87726	31.04	-8.25	243	1134	1587
87727	31.49	-8.25	196	984	1439
87728	31.95	-8.25	195	940	1393
87730	32.85	-8.25	227	1048	1504
87731	33.31	-8.25	211	1018	1474
87732	33.76	-8.25	207	905	1355
87733	34.22	-8.25	226	733	1156
87734	34.67	-8.25	223	715	1134
87735	35.12	-8.25	183	854	1298
87736	35.58	-8.25	172	1000	1456
87737	36.03	-8.25	191	1232	1676
87738	36.49	-8.25	252	1406	1821
87739	36.94	-8.25	249	1445	1851
87740	37.39	-8.25	251	1304	1738
87741	37.85	-8.25	244	1205	1652
87742	38.3	-8.25	255	1052	1508
87743	38.75	-8.25	233	1136	1589
87744	39.21	-8.25	266	1154	1606
88481	13.12	-7.8	262	475	812
88482	13.58	-7.8	261	489	832
88483	14.03	-7.8	246	429	744
88484	14.48	-7.8	238	556	926
88485	14.94	-7.8	228	1078	1534
88486	15.39	-7.8	206	1340	1768
88487	15.85	-7.8	214	1304	1738
88488	16.3	-7.8	230	1236	1680
88489	16.75	-7.8	237	1240	1683
88490	17.21	-7.8	234	1303	1737
88491	17.66	-7.8	233	1379	1799
88492	18.11	-7.8	232	1444	1850
88493	18.57	-7.8	223	1560	1935
88494	19.02	-7.8	218	1605	1967
88495	19.47	-7.8	221	1585	1953
88496	19.93	-7.8	232	1523	1909
88497	20.38	-7.8	234	1536	1918
88498	20.83	-7.8	242	1491	1885
88499	21.29	-7.8	238	1486	1882
88500	21.74	-7.8	238	1480	1877
88501	22.19	-7.8	230	1539	1920
88502	22.65	-7.8	236	1508	1898
88503	23.1	-7.8	231	1563	1937
88504	23.55	-7.8	229	1585	1953
88505	24.01	-7.8	231	1542	1922
88506	24.46	-7.8	225	1515	1903
88507	24.91	-7.8	226	1410	1824
88508	25.37	-7.8	233	1277	1715
88509	25.82	-7.8	241	1130	1583
88510	26.27	-7.8	239	1081	1537
88511	26.73	-7.8	238	1066	1522
88512	27.18	-7.8	251	1019	1475
88513	27.63	-7.8	229	1124	1578
88514	28.09	-7.8	247	1014	1470
88515	28.54	-7.8	243	974	1429
88516	28.99	-7.8	221	1011	1467
88517	29.45	-7.8	205	1079	1535
88518	29.9	-7.8	206	1111	1565
88520	30.81	-7.8	262	1025	1481
88521	31.26	-7.8	236	953	1407
88522	31.71	-7.8	236	941	1394
88524	32.62	-7.8	228	976	1431
88525	33.07	-7.8	208	982	1437
88526	33.53	-7.8	200	921	1372
88527	33.98	-7.8	193	838	1280
88528	34.43	-7.8	219	685	1096
88529	34.89	-7.8	227	659	1063
88530	35.34	-7.8	189	698	1113
88531	35.79	-7.8	190	725	1146
88532	36.25	-7.8	204	1088	1543
88533	36.7	-7.8	220	1445	1851
88534	37.15	-7.8	247	1404	1819
88535	37.61	-7.8	256	1162	1613
88536	38.06	-7.8	264	1023	1479
88537	38.51	-7.8	264	951	1405
88538	38.97	-7.8	262	1049	1505
89276	12.92	-7.35	263	580	959
89277	13.38	-7.35	259	613	1003
89278	13.83	-7.35	252	587	968
89279	14.28	-7.35	246	615	1006
89280	14.74	-7.35	237	928	1380
89281	15.19	-7.35	208	1381	1801
89282	15.64	-7.35	215	1378	1798
89283	16.09	-7.35	231	1295	1730
89284	16.55	-7.35	241	1258	1699
89286	17.45	-7.35	234	1393	1810
89287	17.91	-7.35	233	1456	1859
89288	18.36	-7.35	216	1622	1978
89289	18.81	-7.35	218	1641	1991
89290	19.26	-7.35	222	1629	1983
89291	19.72	-7.35	226	1616	1974
89292	20.17	-7.35	238	1575	1946
89293	20.62	-7.35	242	1606	1967
89294	21.08	-7.35	242	1555	1932
89295	21.53	-7.35	239	1506	1896
89296	21.98	-7.35	237	1530	1914
89297	22.43	-7.35	232	1563	1937
89298	22.89	-7.35	230	1605	1967
89299	23.34	-7.35	233	1637	1988
89300	23.79	-7.35	233	1622	1978
89301	24.25	-7.35	236	1464	1865
89302	24.7	-7.35	228	1418	1830
89303	25.15	-7.35	228	1315	1747
89304	25.6	-7.35	226	1312	1745
89305	26.06	-7.35	236	1118	1572
89306	26.51	-7.35	237	1080	1536
89307	26.96	-7.35	252	1032	1488
89308	27.42	-7.35	252	1126	1580
89309	27.87	-7.35	252	1066	1522
89310	28.32	-7.35	235	1046	1502
89311	28.77	-7.35	215	1020	1476
89312	29.23	-7.35	199	1040	1496
89313	29.68	-7.35	213	965	1419
89314	30.13	-7.35	249	913	1364
89315	30.59	-7.35	275	874	1321
89316	31.04	-7.35	258	951	1405
89317	31.49	-7.35	252	922	1374
89318	31.94	-7.35	240	923	1375
89319	32.4	-7.35	232	938	1391
89320	32.85	-7.35	229	917	1368
89321	33.3	-7.35	220	865	1311
89322	33.76	-7.35	211	778	1210
89323	34.21	-7.35	217	674	1082
89324	34.66	-7.35	215	608	996
89325	35.11	-7.35	224	533	894
89326	35.57	-7.35	236	482	822
89327	36.02	-7.35	217	682	1093
89328	36.47	-7.35	235	1042	1498
89329	36.93	-7.35	237	1113	1567
89330	37.38	-7.35	241	1197	1645
89331	37.83	-7.35	271	1211	1658
89332	38.29	-7.35	268	1070	1526
89333	38.74	-7.35	250	1062	1518
89334	39.19	-7.35	259	1160	1611
90072	13.19	-6.9	260	819	1258
90073	13.64	-6.9	251	855	1300
90074	14.09	-6.9	249	843	1286
90075	14.54	-6.9	245	953	1407
90076	15	-6.9	225	1199	1647
90077	15.45	-6.9	220	1314	1746
90078	15.9	-6.9	219	1389	1807
90079	16.35	-6.9	237	1332	1761
90080	16.81	-6.9	239	1361	1785
90081	17.26	-6.9	233	1447	1852
90082	17.71	-6.9	219	1589	1956
90083	18.16	-6.9	216	1655	2000
90084	18.62	-6.9	219	1665	2007
90085	19.07	-6.9	222	1654	2000
90086	19.52	-6.9	230	1619	1976
90087	19.97	-6.9	242	1563	1937
90088	20.43	-6.9	240	1601	1964
90089	20.88	-6.9	246	1567	1940
90090	21.33	-6.9	245	1548	1927
90091	21.78	-6.9	237	1598	1962
90092	22.24	-6.9	234	1615	1973
90093	22.69	-6.9	232	1613	1972
90094	23.14	-6.9	232	1609	1969
90097	24.5	-6.9	245	1264	1704
90098	24.95	-6.9	233	1241	1684
90099	25.4	-6.9	229	1189	1638
90100	25.86	-6.9	223	1215	1661
90101	26.31	-6.9	239	1056	1512
90102	26.76	-6.9	245	1015	1471
90103	27.21	-6.9	251	1047	1503
90104	27.66	-6.9	249	1082	1537
90105	28.12	-6.9	247	1045	1501
90106	28.57	-6.9	234	1018	1474
90107	29.02	-6.9	215	1004	1460
90108	29.47	-6.9	216	962	1416
90111	30.83	-6.9	258	980	1435
90112	31.28	-6.9	260	957	1411
90113	31.74	-6.9	245	953	1407
90114	32.19	-6.9	242	928	1380
90115	32.64	-6.9	236	899	1349
90116	33.09	-6.9	232	839	1281
90117	33.55	-6.9	224	747	1173
90118	34	-6.9	217	666	1072
90119	34.45	-6.9	219	604	991
90120	34.9	-6.9	224	561	933
90121	35.36	-6.9	227	538	901
90122	35.81	-6.9	238	515	869
90123	36.26	-6.9	217	674	1082
90124	36.71	-6.9	216	833	1275
90125	37.17	-6.9	250	927	1379
90126	37.62	-6.9	244	1055	1511
90127	38.07	-6.9	260	1219	1665
90128	38.52	-6.9	266	993	1448
90129	38.98	-6.9	248	999	1455
90867	12.56	-6.45	256	835	1277
90868	13.01	-6.45	266	872	1319
90869	13.46	-6.45	259	978	1433
90870	13.91	-6.45	251	1022	1478
90871	14.37	-6.45	231	1167	1618
90872	14.82	-6.45	238	1196	1644
90873	15.27	-6.45	225	1238	1681
90874	15.72	-6.45	231	1333	1762
90875	16.17	-6.45	228	1431	1840
90876	16.63	-6.45	235	1436	1844
90877	17.08	-6.45	223	1552	1930
90878	17.53	-6.45	221	1613	1972
90879	17.98	-6.45	219	1675	2013
90880	18.43	-6.45	219	1699	2029
90881	18.89	-6.45	223	1679	2016
90882	19.34	-6.45	234	1609	1969
90883	19.79	-6.45	243	1562	1937
90884	20.24	-6.45	239	1595	1960
90885	20.69	-6.45	248	1529	1913
90886	21.15	-6.45	245	1559	1935
90887	21.6	-6.45	246	1590	1956
90888	22.05	-6.45	239	1679	2016
90889	22.5	-6.45	238	1687	2021
90890	22.95	-6.45	237	1610	1970
90893	24.31	-6.45	247	1339	1767
90894	24.76	-6.45	238	1279	1717
90895	25.21	-6.45	236	1180	1630
90896	25.67	-6.45	233	1158	1609
90897	26.12	-6.45	236	1110	1564
90898	26.57	-6.45	246	1036	1492
90899	27.02	-6.45	250	1024	1480
90900	27.47	-6.45	245	1073	1529
90901	27.93	-6.45	246	1068	1524
90902	28.38	-6.45	231	1094	1549
90903	28.83	-6.45	220	1104	1559
90904	29.28	-6.45	213	1134	1587
90906	30.19	-6.45	235	1030	1486
90907	30.64	-6.45	230	1080	1536
90908	31.09	-6.45	248	1103	1558
90909	31.54	-6.45	241	1022	1478
90910	31.99	-6.45	243	967	1421
90911	32.45	-6.45	241	920	1371
90912	32.9	-6.45	236	856	1301
90913	33.35	-6.45	227	754	1182
90914	33.8	-6.45	214	668	1075
90915	34.25	-6.45	215	605	992
90916	34.71	-6.45	223	575	952
90917	35.16	-6.45	224	561	933
90918	35.61	-6.45	228	552	921
90919	36.06	-6.45	224	604	991
90920	36.51	-6.45	224	615	1006
90921	36.97	-6.45	175	916	1367
90922	37.42	-6.45	253	942	1395
90923	37.87	-6.45	247	931	1383
90924	38.32	-6.45	251	933	1385
90925	38.77	-6.45	267	953	1407
91666	13.3	-6	276	951	1405
91667	13.75	-6	258	1049	1505
91668	14.2	-6	246	1170	1620
91669	14.65	-6	237	1269	1708
91670	15.1	-6	222	1202	1649
91671	15.55	-6	229	1362	1786
91672	16.01	-6	238	1443	1849
91674	16.91	-6	225	1585	1953
91675	17.36	-6	226	1619	1976
91676	17.81	-6	223	1684	2019
91677	18.26	-6	221	1716	2040
91678	18.72	-6	225	1691	2024
91680	19.62	-6	233	1643	1992
91681	20.07	-6	244	1573	1944
91682	20.52	-6	249	1538	1920
91683	20.97	-6	247	1549	1927
91684	21.43	-6	245	1592	1958
91685	21.88	-6	242	1669	2010
91686	22.33	-6	249	1715	2039
91687	22.78	-6	243	1676	2014
91690	24.14	-6	243	1489	1884
91691	24.59	-6	242	1395	1812
91692	25.04	-6	245	1263	1703
91693	25.49	-6	244	1197	1645
91694	25.94	-6	250	1117	1571
91695	26.39	-6	243	1127	1581
91696	26.85	-6	251	1077	1533
91697	27.3	-6	250	1082	1537
91698	27.75	-6	246	1096	1551
91699	28.2	-6	239	1107	1562
91700	28.65	-6	223	1156	1608
91701	29.1	-6	232	1108	1563
91703	30.01	-6	225	1063	1519
91704	30.46	-6	200	1127	1581
91705	30.91	-6	231	1105	1560
91706	31.36	-6	238	1068	1524
91707	31.81	-6	241	1006	1462
91708	32.26	-6	241	959	1413
91709	32.72	-6	237	907	1357
91710	33.17	-6	231	823	1263
91711	33.62	-6	220	716	1135
91712	34.07	-6	207	660	1064
91713	34.52	-6	214	601	987
91714	34.97	-6	237	582	962
91715	35.43	-6	231	574	951
91716	35.88	-6	227	695	1109
91717	36.33	-6	222	822	1262
91718	36.78	-6	197	763	1192
91719	37.23	-6	211	864	1310
91720	37.68	-6	240	1067	1523
91721	38.14	-6	238	988	1443
91722	38.59	-6	260	981	1436
92462	12.24	-5.55	249	895	1344
92463	12.69	-5.55	252	1023	1479
92464	13.14	-5.55	245	1138	1591
92465	13.59	-5.55	252	1078	1534
92466	14.05	-5.55	250	1151	1603
92467	14.5	-5.55	246	1267	1707
92468	14.95	-5.55	232	1380	1800
92469	15.4	-5.55	234	1436	1844
92470	15.85	-5.55	227	1570	1942
92471	16.3	-5.55	235	1582	1951
92472	16.75	-5.55	228	1624	1980
92473	17.2	-5.55	234	1597	1961
92474	17.66	-5.55	226	1674	2013
92476	18.56	-5.55	228	1696	2027
92477	19.01	-5.55	232	1667	2008
92478	19.46	-5.55	236	1650	1997
92479	19.91	-5.55	241	1622	1978
92480	20.36	-5.55	247	1578	1948
92481	20.81	-5.55	246	1575	1946
92482	21.27	-5.55	246	1575	1946
92483	21.72	-5.55	248	1607	1968
92484	22.17	-5.55	249	1635	1987
92485	22.62	-5.55	248	1648	1996
92486	23.07	-5.55	248	1637	1988
92487	23.52	-5.55	255	1571	1943
92488	23.97	-5.55	251	1545	1925
92489	24.42	-5.55	248	1516	1904
92490	24.88	-5.55	246	1448	1853
92491	25.33	-5.55	244	1365	1788
