ComLoc	Member	MidMemberAge	noFossils	noGenus	EastWest	Formation	meanHYP	meanHOR	meanAL	meanOL	meanSF	meanOT	meanCM	temp_high	pred_npp_ecom	pred_npp_ecomI	pred_npp_base_ecom	meanLOP	pred_habitat	pred_taxa
LO4 >< Lower Lomekwi	Lower Lomekwi	3.22	224	25	2	Nachukui	2.2	1.36	0.08	0.68	0.16	0.4	0.32	28.916	1068.18501322089	1462.72	1076.48	1	1269.52380952381	1166.6107025428
LO5 >< Lower Lomekwi	Lower Lomekwi	3.22	218	28	2	Nachukui	2.107	1.286	0.143	0.643	0.179	0.357	0.286	27.3334	1193.98504134624	1553.588	1267.132	0.964	1276.38095238095	1208.57118917538
206 >< Tulu Bor	Tulu Bor	3.04	6	6	1	Koobi Fora	1.667	1	0	0.833	0.5	0	0.167	4.0069	1773.91690386436	2431.625	1404	1	1263.66666666667	973.498611529942
1A >< Okote	Okote	1.46	97	20	1	Koobi Fora	2.2	1.15	0	0.8	0.3	0.35	0.35	18.27	1224.9866630601	1827.45	965.45	1.3	1316.94117647059	1137.53096481561
6A >< KBS	KBS	1.7	54	17	1	Koobi Fora	2.412	1.235	0	0.824	0.294	0.529	0.471	18.1806	795.675689085728	1898.831	741.163	1.294	1275.26666666667	914.171904227687
6A >< Okote	Okote	1.46	63	18	1	Koobi Fora	2.333	1.167	0	0.778	0.278	0.444	0.389	20.2192	981.882608815571	1773.95	847.668	1.333	1288.875	1208.68825642258
6A >< Chari	Chari	1.07	5	3	1	Koobi Fora	2	1.333	0	0.667	0.667	0.667	0.667	-3.8962	1144.31326505298	3891.778	568.249	0.667	1290.33333333333	745.486979647106
7A >< Okote	Okote	1.46	15	7	1	Koobi Fora	2.286	1	0	0.714	0.429	0.429	0.571	11.2911	850.059128310328	2293.852	866.463	0.857	1382.16666666667	717.059825578063
8A >< KBS	KBS	1.7	76	18	1	Koobi Fora	2.222	1.389	0.056	0.778	0.278	0.444	0.444	19.2784	1001.58714708653	1911.854	969.244	0.944	1386.53333333333	1262.63716944625
8A >< Okote	Okote	1.46	70	15	1	Koobi Fora	2.286	1.2	0	0.733	0.267	0.467	0.533	21.8976	985.154409038786	1864.434	818.849	1.133	1425.84615384615	738.392749302538
8B >< KBS	KBS	1.7	108	17	1	Koobi Fora	2.471	1.176	0	0.824	0.235	0.471	0.471	22.1867	696.505860124476	1528.716	813.837	1.412	1207.14285714286	634.757080527573
